Term,TermCount,DocCount,TFIDF
present,181813,26903,6.758093892874401
Low,29857,13697,2.1798203986274367
prostate carcinoma,6984,3107,2.24782748632121
grade,49908,11606,4.300189557125624
prostatic hypertrophy,390,322,1.2111801242236024
likely,127743,19599,6.517832542476657
prostatic,27375,10746,2.547459519821329
fusion,34364,7578,4.534705727104777
biopsy,176448,16496,10.696411251212416
lesions,97598,16146,6.044716957760436
metastatic disease,34451,9860,3.4940162271805275
social history,41060,13652,3.007617931438617
medications,267207,14930,17.897320830542533
allergies,65319,14232,4.589586846543002
history,541654,15167,35.71266565569987
and problem,22147,12667,1.7484013578590036
ASSESSMENT,228832,14619,15.653054244476367
Prostate-Specific Antigen,24146,6653,3.629340147301969
Prostate,243442,15192,16.024354923644022
prostate,603424,21106,28.59016393442623
nodule,24649,7399,3.3313961346127856
multiparametric MRI,2502,1498,1.67022696929239
possible,140822,14241,9.88849097675725
HISTORY OF PRESENT ILLNESS,180834,15019,12.040348891404221
REASON FOR VISIT,90051,13257,6.792713283548314
screening,30744,8193,3.752471622116441
Prostate Biopsy,4204,2626,1.600913937547601
body,32973,8505,3.87689594356261
Prostate cancer,38966,11480,3.3942508710801396
1-2,35100,10298,3.4084288211303164
cialis,910,639,1.4241001564945226
abdominal,100416,12868,7.803543674230649
surgeries,9868,5290,1.8654064272211721
costovertebral angle tenderness,3109,2862,1.086303284416492
scleral icterus,14187,9030,1.5710963455149503
adenopathy,28425,10268,2.7683093104791587
EYES,8724,5991,1.456184276414622
breathing,25987,8095,3.2102532427424335
RESPIRATORY,7530,4567,1.6487847602364791
chest expansion,812,740,1.0972972972972972
Normal penis,760,712,1.0674157303370786
NODES,6431,4975,1.2926633165829147
plaques,6075,3966,1.5317700453857792
Normal,206908,14537,14.23319804636445
tenderness,79142,11853,6.676959419556231
palpation,39728,9639,4.121589376491337
Fusion Biopsy,223,197,1.131979695431472
Physician,33838,10610,3.1892554194156455
see,236322,14466,16.336374948154294
negative,218952,14885,14.709573396036278
Fusion,6465,3708,1.743527508090615
prostate ultrasound,1359,1080,1.2583333333333333
Antibiotics,9257,4282,2.1618402615600187
3D Imaging,38,38,1.0
PROCEDURE,86098,13267,6.489635938795508
decubitus,3238,2701,1.1988152536097743
procedure,350097,14953,23.41316123854745
Biopsy,21515,8433,2.551286612119056
Yes,210799,13365,15.772465394687616
local infiltration,5266,3895,1.35198973042362
Diagnostic,12922,7166,1.8032375104660898
ANESTHESIA,22898,10213,2.242044453147949
Anesthesia,134680,13603,9.900757185914872
Procedure,189950,14518,13.083758093401295
SEDATION,14342,7388,1.9412560909583108
Consent,28941,9838,2.9417564545639356
None,177801,14756,12.04940363242071
grade high,69,56,1.2321428571428572
right apex,7488,4053,1.847520355292376
discussion,90919,14112,6.442672902494331
Patient,1399795,15141,92.45063073773198
radical retropubic prostatectomy,1908,996,1.9156626506024097
active surveillance,34321,8699,3.9453960225313254
cryotherapy,12243,4281,2.859845830413455
treatment,336735,14574,23.105187319884728
options,69212,13336,5.189862027594481
various,12420,6487,1.9145984276244796
care,261882,14468,18.10077412220072
ultrasound,75570,12752,5.926129234629862
confirmatory,3053,1856,1.6449353448275863
imaging,90026,12925,6.965261121856867
blood,132002,14050,9.395160142348754
lymph node dissection,23900,6844,3.4921098772647574
pelvic,73866,12446,5.934918849429535
surgery,319534,14523,22.001927976313432
severe,56604,9718,5.824655278863964
Anastomotic,477,452,1.0553097345132743
3-4,18144,7760,2.3381443298969073
difficulty,73227,12308,5.949545011374716
function,83211,12993,6.404294620180097
pulmonary embolus,2857,1941,1.4719216898505925
Cardiovascular risks,433,432,1.0023148148148149
bowel,58773,11358,5.17459059693608
Urinary,37403,10358,3.61102529445839
10-14,788,760,1.0368421052631578
pain medication,17549,6405,2.7398907103825136
Radiation,22335,7368,3.0313517915309447
treatments,39869,10486,3.8021171085256533
Treatments,8251,4654,1.7728835410399657
assist,49908,7327,6.811519039170192
field,15980,8489,1.8824360937684061
rectal wall,5747,2817,2.040113596024139
side effects,65458,12172,5.3777522182057185
surgical intervention,17006,7449,2.2829910055040945
effects of radiation,5424,4386,1.2366621067031465
temperature,25964,6939,3.7417495316328
probe,10648,6147,1.7322271026517
Cryo,526,496,1.060483870967742
rectourethral fistula,470,441,1.0657596371882085
complication,11995,6313,1.9000475209884367
dysfunction,75082,13283,5.652488142738839
strictures,1578,1176,1.3418367346938775
sexual function,6144,4587,1.3394375408763899
used,120359,13893,8.663283668034262
ultrasound prostate,574,541,1.0609981515711646
cancer treatment,5654,3850,1.4685714285714286
High,20290,10524,1.927974154313949
diagnosed,68572,12884,5.322260167649798
Prostate Cancer,14240,7281,1.9557753055898914
recurrences,1756,1236,1.4207119741100325
May,63733,10786,5.90886334136844
answer questions,2910,2148,1.3547486033519553
alternative therapy,269,226,1.1902654867256637
proven,7852,4623,1.6984642007354531
infection,110237,13769,8.006173287820467
perineal,6486,3024,2.1448412698412698
discomfort,53168,10041,5.295090130465093
evaluation,216403,14677,14.744361926824283
rectal exam,10932,5753,1.900225969059621
abnormal,34962,10204,3.4263034104272836
OBJECTIVE,157433,14081,11.180526951210851
speech,19530,8144,2.3980844793713163
Alert,67687,13918,4.8632705848541455
penis,20974,6227,3.3682351051870887
inguinal,10401,4494,2.314419225634179
RECTAL EXAM,493,459,1.0740740740740742
fluctuance,1501,963,1.5586708203530633
acute bacterial prostatitis,68,36,1.8888888888888888
prostate abscess,218,63,3.4603174603174605
IMAGING,22672,9858,2.2998579833637653
coordination of care,25924,10068,2.5748907429479537
counseling,46717,12033,3.882406714867448
EST,35517,2335,15.210706638115632
Medications,83860,13209,6.3487016428192895
encounter,28647,9761,2.934842741522385
Surgical,46713,12790,3.6523064894448787
Surgery,53039,11421,4.64398914280711
Blood Thinners,381,345,1.1043478260869566
LYMPH NODE DISSECTION,3873,1430,2.7083916083916084
POSSIBLE,6794,1632,4.1629901960784315
Medical,48803,11815,4.130596699111299
SURGERY,8918,4959,1.7983464408146803
Surgeon,31054,10676,2.9087673285874858
PELVIC,10830,4017,2.6960418222554146
cardiopulmonary,11552,7076,1.6325607687959298
Primary Malignant Neoplasm,109513,12976,8.439657829839705
Past Medical History,22228,10495,2.1179609337779897
Diagnosis,124058,14546,8.52866767496219
Medication,65460,11446,5.719028481565612
skin rash,5696,4126,1.3805138148327678
Negative,200595,13045,15.377155998466845
Skin,155902,14374,10.846111033811047
sudden loss of vision,1476,1394,1.0588235294117647
visual problems,4233,3506,1.2073588134626354
hoarse voice,2187,1695,1.2902654867256638
ENT,58575,12886,4.545630917274561
Respiratory,72167,13667,5.280383405282798
dyspnea,26087,7330,3.55893587994543
phlegm,7035,3796,1.8532665964172814
mucus,9033,4426,2.0408947130591955
fluttering heart,4059,3179,1.2768166089965398
legs,37055,8475,4.372271386430678
feet,42262,8425,5.016261127596439
shortness of breath,79537,11893,6.687715462877323
nausea and vomiting,13109,7421,1.766473521088802
Gastrointestinal,35874,11423,3.140505996673378
cramping,11933,7030,1.6974395448079658
diarrhea,64190,11687,5.492427483528707
difficulty urinating,9682,6477,1.4948278524008027
pain with urination,8161,5563,1.4670142009706992
Genitourinary,45545,12866,3.5399502564899734
Hematologic,29379,11588,2.5352951328960995
lumps,4810,3857,1.2470832253046409
Musculoskeletal,89446,13983,6.396767503396982
stiffness,24245,8146,2.9763073901301254
joint swelling,5315,3705,1.4345479082321189
arthralgias,8281,5680,1.4579225352112677
joints,19574,7419,2.638360965089635
excessive daytime sleepiness,5618,2763,2.0332971407889975
light-headedness,8436,5121,1.6473345049794963
consciousness,7176,3451,2.0793972761518402
shooting pain,5381,3839,1.401667100807502
Neurological,59415,13079,4.542778499885312
numbness,36299,8136,4.461529006882989
hands,24632,6860,3.59067055393586
arms,22298,7546,2.954943016167506
Psychiatric,58878,13818,4.260963960052106
worrying,2056,1593,1.290646578782172
able,179203,13822,12.96505570829113
reports,247699,13674,18.114597045487788
esophagus,6121,1653,3.7029643073200242
General,184804,14722,12.552914006249152
Head,32699,12060,2.7113598673300165
External,16709,7694,2.171692227709904
oropharyngeal exudate,3833,3137,1.2218680267771755
Pharynx,5664,4223,1.3412266161496567
Conjunctiva,6841,5759,1.1878798402500435
sclera,8587,6528,1.3154105392156863
Conjunctivae,13010,8215,1.5836883749239197
Pupils,19189,9737,1.9707302043750643
reactive to light,13261,9439,1.4049157749761627
range of motion,48423,11051,4.381775404940729
neck supple,5083,4180,1.2160287081339713
Thyroid,10596,4784,2.2148829431438126
Vascular,13203,5753,2.29497653398227
JVD,12297,6604,1.862053301029679
Trachea,4449,3388,1.313164108618654
rhythm,54495,11769,4.630384909508029
Normal heart sounds,5243,4871,1.076370355163211
Heart,49797,10894,4.571048283458785
friction rub,5224,4283,1.2197058136819987
Pulmonary,60157,12759,4.714867936358649
effort,32916,12652,2.601644008852355
respiratory,30716,11118,2.762727109192301
Palpations,6374,6027,1.0575742492118798
Abdomen,69881,13545,5.159173126614987
deformity,14763,6296,2.3448221092757304
Cervical,15905,6555,2.4263920671243326
pale,5863,3616,1.6214048672566372
Findings,41246,13143,3.1382484972989424
oriented to person,27692,11701,2.3666353303136485
cranial,7075,4803,1.4730376847803457
symmetric,20016,7245,2.7627329192546584
Deep,2936,2263,1.2973928413610252
Behavior,22626,7929,2.8535754824063564
functional capacity,4540,3041,1.4929299572509043
comorbidities,14293,5176,2.7613987635239567
cardiac event,4139,3364,1.2303804994054697
Intermediate,10161,7296,1.3926809210526316
Revised,4957,3024,1.6392195767195767
DVT prophylaxis,8839,4425,1.9975141242937853
Not indicated,7648,3546,2.1567963902989282
complications,58764,13248,4.4356884057971016
prescribed,47168,10734,4.394261226010807
assessment,72104,12642,5.703527922797026
Low Risk,5532,4047,1.3669384729429206
Bang,6318,3279,1.9268069533394327
infection prophylaxis,3045,2468,1.2337925445705025
Other medication,2307,2055,1.1226277372262774
medication,154690,13321,11.612491554688086
NSAIDS,4151,3444,1.2052845528455285
Robotic assisted,1843,1420,1.297887323943662
reported,65171,10918,5.969133540941565
positive,73947,11757,6.289614697626946
enhancing,5717,2506,2.2813248204309655
Review of systems,11150,7081,1.57463635079791
Physical exam,7838,5568,1.4076867816091954
MEDICATIONS,50452,12073,4.178911620972418
Anesthetic,5364,3578,1.4991615427613192
ALLERGIES,32084,11158,2.8754257035310986
hematocrit,4755,3086,1.5408295528191833
platelets,9457,3797,2.4906505135633394
Sodium,7941,4082,1.9453699167074963
creatinine,39993,7509,5.326008789452657
transfusion,19011,8645,2.1990746096009253
clear liquid diet,2750,1754,1.5678449258836944
blood products,27922,12362,2.258696003882867
ability,38262,10422,3.671272308578008
Airway,21359,10576,2.019572617246596
portal system,175,163,1.0736196319018405
prostate adenocarcinoma,15510,6464,2.3994430693069306
pathologic stage,873,557,1.5673249551166966
pathology,59490,13092,4.543996333638863
hormonal therapy,5801,2872,2.0198467966573816
catheter removal,17288,6334,2.7293969055888856
Primary,59258,11931,4.966725337356467
anesthesia,93001,13683,6.796828180954469
umbilicus,8196,5368,1.5268256333830104
incision,48430,9091,5.327246727532724
5 mm,9623,5130,1.8758284600389863
lens,5947,2450,2.42734693877551
mobilized,3317,1728,1.9195601851851851
adhesions,4651,2826,1.6457891012031138
sigmoid,9893,3187,3.1041732036397867
seminal vesicles,20140,9461,2.12873903392876
Endo,4409,2697,1.6347793845012977
cut,13763,5627,2.445885907232984
turned,11430,4909,2.328376451415767
Bladder,21592,7263,2.972876221946854
dorsal vein,4702,2376,1.978956228956229
bladder neck,24629,7122,3.4581578208368438
attachments,4629,2962,1.562795408507765
dissection,24426,8612,2.836274965164886
neurovascular bundles,6126,5113,1.1981224330138862
